filterFactor,frame_size,scale_factor,noise_coefficient,avg_relative_abs_err
2,20,10,0.01,6.01333362347959
2,30,10,0.01,0.8333874332690492
2,30,20,0.01,7.146991923230362
2,40,10,0.01,26.550579517602028
2,40,20,0.01,3.533604074927908
2,40,30,0.01,15.652389866537876
2,50,10,0.01,1.1536442034698775
2,50,20,0.01,4.293841077907569
2,50,30,0.01,4.387984466621296
2,50,40,0.01,5.849497539593448
2,60,10,0.01,1.1448280867210678
2,60,20,0.01,4.176263692621805
2,60,30,0.01,19.82180821606559
2,60,40,0.01,57.120301749054086
2,60,50,0.01,5.895518294920364
2,70,10,0.01,0.36793804706059546
2,70,20,0.01,8.191068638618786
2,70,30,0.01,4.765590339206724
2,70,40,0.01,4.19608073183606
2,70,50,0.01,10.307094707411027
2,70,60,0.01,16.333021927004403
2,80,10,0.01,0.07728410207954282
2,80,20,0.01,1.2044562044474791
2,80,30,0.01,607.5486418391645
2,80,40,0.01,4.241578032741183
2,80,50,0.01,19.79736806434199
2,80,60,0.01,11.303183245405407
2,80,70,0.01,68.15401338998142
2,90,10,0.01,0.31419131303053077
2,90,20,0.01,5.734919334722871
2,90,30,0.01,3.1462739927863184
2,90,40,0.01,23.046299959171446
2,90,50,0.01,50.0795126533317
2,90,60,0.01,72.23388138232853
2,90,70,0.01,28.54756854110671
2,90,80,0.01,6.862661160200002
2,100,10,0.01,19.973986293729716
2,100,20,0.01,2.729554143571678
2,100,30,0.01,14.860651202313285
2,100,40,0.01,35.23985959465537
2,100,50,0.01,12.774425965768378
2,100,60,0.01,8.168867748588356
2,100,70,0.01,15.398052345211829
2,100,80,0.01,22.42875375440671
2,100,90,0.01,23.867910380197483
2,110,10,0.01,0.5395283454533062
2,110,20,0.01,2.348441748982943
2,110,30,0.01,2.7222260200935238
2,110,40,0.01,5.835578474773854
2,110,50,0.01,9.786551132843082
2,110,60,0.01,5.517208102403597
2,110,70,0.01,63.43397983795958
2,110,80,0.01,25.801132187077027
2,110,90,0.01,2.74456647863433
2,110,100,0.01,5.203248646826798
2,120,10,0.01,0.9591913790832187
2,120,20,0.01,1.9377815387364077
2,120,30,0.01,2.5145568438485193
2,120,40,0.01,4.804537552367679
2,120,50,0.01,5.2123501964184955
2,120,60,0.01,188.00906173486703
2,120,70,0.01,54.367064814129954
2,120,80,0.01,21.419949404683738
2,120,90,0.01,15.966328145679881
2,120,100,0.01,37.45417249713723
2,120,110,0.01,6.937589734769361
2,130,10,0.01,1.9450135751380546
2,130,20,0.01,4.2006514053984825
2,130,30,0.01,3.1810118398534946
2,130,40,0.01,8.482002335399413
2,130,50,0.01,24.570556420946588
2,130,60,0.01,100.72062658863456
2,130,70,0.01,60.11877821486848
2,130,80,0.01,23.338987907748578
2,130,90,0.01,17.80661252366619
2,130,100,0.01,436.6847161175204
2,130,110,0.01,17.008829139296648
2,130,120,0.01,64.80285206353177
2,140,10,0.01,0.5161655512318274
2,140,20,0.01,1.6059281594714283
2,140,30,0.01,5.118061760277612
2,140,40,0.01,11.652617146358137
2,140,50,0.01,21.72100996968683
2,140,60,0.01,45.010146358481784
2,140,70,0.01,43.071651828780034
2,140,80,0.01,11.931857079358414
2,140,90,0.01,41.47020417491988
2,140,100,0.01,10.197396060957892
2,140,110,0.01,33.90299338942072
2,140,120,0.01,6.692585134010387
2,140,130,0.01,10.622656641794249
2,150,10,0.01,0.8051763389232384
2,150,20,0.01,0.8461495577076125
2,150,30,0.01,5.653838038790059
2,150,40,0.01,8.0192260606027
2,150,50,0.01,82.15271382359268
2,150,60,0.01,61.337627009094284
2,150,70,0.01,14.678206907581574
2,150,80,0.01,50.59725814908908
2,150,90,0.01,89.51610551436761
2,150,100,0.01,24.71240699794306
2,150,110,0.01,29.536652485841604
2,150,120,0.01,17.189575612003697
2,150,130,0.01,31.04701353829068
2,150,140,0.01,37.71051237365021
2,160,10,0.01,0.579959751574126
2,160,20,0.01,4.397573792209402
2,160,30,0.01,1.4810072867892385
2,160,40,0.01,5.883196375598547
2,160,50,0.01,8.154726399268773
2,160,60,0.01,17.961821248285748
2,160,70,0.01,17.61368272710412
2,160,80,0.01,18.240427886841577
2,160,90,0.01,13.376331393644874
2,160,100,0.01,22.92353871097625
2,160,110,0.01,7.000959090532034
2,160,120,0.01,8.043427830663884
2,160,130,0.01,12.29416395766257
2,160,140,0.01,30.579459544241526
2,160,150,0.01,19.1689832085227
2,170,10,0.01,2.115309488037718
2,170,20,0.01,3.3337024140618845
2,170,30,0.01,1.121950275554665
2,170,40,0.01,16.288716776015065
2,170,50,0.01,17.1134997068848
2,170,60,0.01,4.118325427427801
2,170,70,0.01,130.0624259274824
2,170,80,0.01,7.4661877512764745
2,170,90,0.01,20.076960927772568
2,170,100,0.01,7.557122470827433
2,170,110,0.01,0.9723245771485275
2,170,120,0.01,20.11883268931471
2,170,130,0.01,12.265186192944151
2,170,140,0.01,18.28423041593861
2,170,150,0.01,565.9306807364213
2,170,160,0.01,34.06127076881816
2,180,10,0.01,0.9933567469728285
2,180,20,0.01,1.6308432343391164
2,180,30,0.01,1.1958214692497136
2,180,40,0.01,11.337402303369302
2,180,50,0.01,47.81799530426613
2,180,60,0.01,5.5953466753358825
2,180,70,0.01,7.899005507361731
2,180,80,0.01,3.3670944796337374
2,180,90,0.01,19.31672455644879
2,180,100,0.01,29.388912011474048
2,180,110,0.01,21.063267754379073
2,180,120,0.01,205.16928307813905
2,180,130,0.01,30.81395976781602
2,180,140,0.01,49.05586203023497
2,180,150,0.01,2.7727935992946526
2,180,160,0.01,139.72683133798435
2,180,170,0.01,178.19836462871953
2,190,10,0.01,0.47365623586967637
2,190,20,0.01,0.8918430393135259
2,190,30,0.01,280.48146373030056
2,190,40,0.01,2.666141558514615
2,190,50,0.01,11.271050892137131
2,190,60,0.01,12.303202515036835
2,190,70,0.01,27.869314310020343
2,190,80,0.01,80.54479673800073
2,190,90,0.01,21.61051858693719
2,190,100,0.01,13.704445532951523
2,190,110,0.01,179.4997020851074
2,190,120,0.01,121.84578829748108
2,190,130,0.01,47.17575405771431
2,190,140,0.01,422.6340324808282
2,190,150,0.01,14.967253735496906
2,190,160,0.01,32.38254852387417
2,190,170,0.01,7.762855050159021
2,190,180,0.01,34.89253237969539
2,200,10,0.01,0.5085936652127735
2,200,20,0.01,0.5395566788655356
2,200,30,0.01,5.1906623288048275
2,200,40,0.01,2.44336966553622
2,200,50,0.01,11.91322689035835
2,200,60,0.01,36.15730615456104
2,200,70,0.01,12.262305384130977
2,200,80,0.01,35.43255629757516
2,200,90,0.01,7.8971177980304255
2,200,100,0.01,195.8466215743368
2,200,110,0.01,8.11333160410706
2,200,120,0.01,21.19166904623059
2,200,130,0.01,16.205300078790064
2,200,140,0.01,3.4374015916426632
2,200,150,0.01,51.878508092282935
2,200,160,0.01,30.781256756683714
2,200,170,0.01,57.01938472976928
2,200,180,0.01,39.01471530298746
2,200,190,0.01,217.2177253349922
2,210,10,0.01,23.28644354342667
2,210,20,0.01,4.5385050756038785
2,210,30,0.01,8.572559720149664
2,210,40,0.01,17.419778642522264
2,210,50,0.01,5.724884090385223
2,210,60,0.01,6.227982519007625
2,210,70,0.01,11.57104677795767
2,210,80,0.01,7.792308859053972
2,210,90,0.01,100.31588537262515
2,210,100,0.01,8.701611576030711
2,210,110,0.01,54.20677264173136
2,210,120,0.01,16.448766736226077
2,210,130,0.01,71.52447499933356
2,210,140,0.01,12.388837915623922
2,210,150,0.01,25.97868122635087
2,210,160,0.01,102.4335715825295
2,210,170,0.01,325.42455742868975
2,210,180,0.01,73.84395632461418
2,210,190,0.01,46.861125793557704
2,210,200,0.01,50.56798842617485
2,220,10,0.01,0.41641837889308714
2,220,20,0.01,1.1747105286524147
2,220,30,0.01,2.1744578464502804
2,220,40,0.01,35.11328271717116
2,220,50,0.01,15.409436566640219
2,220,60,0.01,8.54707267023502
2,220,70,0.01,5.1218694408201815
2,220,80,0.01,26.216990997009358
2,220,90,0.01,25.524834013273942
2,220,100,0.01,45.204252540406806
2,220,110,0.01,12.731973756745289
2,220,120,0.01,17.965520142252913
2,220,130,0.01,13.509283067783363
2,220,140,0.01,114.06673361089373
2,220,150,0.01,62.08200127954859
2,220,160,0.01,55.14369572963318
2,220,170,0.01,85.45399691193838
2,220,180,0.01,99.02952612039432
2,220,190,0.01,55.648706611167
2,220,200,0.01,97.8214957798674
2,220,210,0.01,95.6317722922549
2,230,10,0.01,0.26986156598661076
2,230,20,0.01,12.186847066199357
2,230,30,0.01,4.2155466690215215
2,230,40,0.01,5.517321960924004
2,230,50,0.01,3.030708124429296
2,230,60,0.01,7.745083060491782
2,230,70,0.01,25.474943447954914
2,230,80,0.01,14.334740627246353
2,230,90,0.01,33.19655105732641
2,230,100,0.01,331.75203731071605
2,230,110,0.01,24.12023315161407
2,230,120,0.01,78.9254059178434
2,230,130,0.01,33.38757238450699
2,230,140,0.01,87.2696710075349
2,230,150,0.01,29.143576663999383
