filterFactor,frame_size,scale_factor,noise_coefficient,avg_relative_abs_err
3,20,10,0.01,5.317652967906425
3,30,10,0.01,5.4619200207542535
3,30,20,0.01,417.2067719164045
3,40,10,0.01,1.051447673357506
3,40,20,0.01,3.6256648453321585
3,40,30,0.01,12.407845677895475
3,50,10,0.01,0.5802128128030648
3,50,20,0.01,1.1288026781188023
3,50,30,0.01,46.50197775618896
3,50,40,0.01,7.374883496239096
3,60,10,0.01,0.6706529647558416
3,60,20,0.01,2.2986984572089417
3,60,30,0.01,3.9661925919209526
3,60,40,0.01,47.14019284646042
3,60,50,0.01,15.090490875760871
3,70,10,0.01,0.45828338892041404
3,70,20,0.01,2.587393747451169
3,70,30,0.01,8.162104024785986
3,70,40,0.01,3.8905589779827756
3,70,50,0.01,15.252920531788419
3,70,60,0.01,8.014185469060129
3,80,10,0.01,0.35458480373679796
3,80,20,0.01,1.70850111080638
3,80,30,0.01,9.147973090106742
3,80,40,0.01,5.165217072363835
3,80,50,0.01,8.657919774075006
3,80,60,0.01,10.263045264406516
3,80,70,0.01,15.979910703824714
3,90,10,0.01,1.3137841243482755
3,90,20,0.01,8.416559893037785
3,90,30,0.01,1.9524313809533933
3,90,40,0.01,7.124351400575875
3,90,50,0.01,160.9309439186338
3,90,60,0.01,356.88100354245165
3,90,70,0.01,14.462672209667403
3,90,80,0.01,15.12225587794129
3,100,10,0.01,0.5304191329020821
3,100,20,0.01,1.3100459096805912
3,100,30,0.01,13.902196777897222
3,100,40,0.01,5.090900437371302
3,100,50,0.01,17.76840444971153
3,100,60,0.01,9.126055224513832
3,100,70,0.01,7.384585504612775
3,100,80,0.01,11.323067646796432
3,100,90,0.01,52.82411750422236
3,110,10,0.01,0.29491468160242335
3,110,20,0.01,1.1636709944495445
3,110,30,0.01,64.03117795147864
3,110,40,0.01,10.135551939134094
3,110,50,0.01,14.35399033526189
3,110,60,0.01,26.954180398835902
3,110,70,0.01,20.415814168265896
3,110,80,0.01,14.722764644259286
3,110,90,0.01,76.26240533947723
3,110,100,0.01,58.757397984648236
3,120,10,0.01,4.405237318923836
3,120,20,0.01,3.177146137080923
3,120,30,0.01,13.017009364869898
3,120,40,0.01,0.9931382865527008
3,120,50,0.01,3.8211488450320936
3,120,60,0.01,21.939445787007127
3,120,70,0.01,7.599951609850238
3,120,80,0.01,14.80951008052809
3,120,90,0.01,12.355065983214622
3,120,100,0.01,5.899356969902324
3,120,110,0.01,4.750404842859476
3,130,10,0.01,0.9476395720205913
3,130,20,0.01,3.071575230674533
3,130,30,0.01,12.212439848600459
3,130,40,0.01,8.274910208184455
3,130,50,0.01,3.5446113935462904
3,130,60,0.01,10.175035840152983
3,130,70,0.01,2.022603813157525
3,130,80,0.01,75.2676943031981
3,130,90,0.01,178.13642004336631
3,130,100,0.01,4.831655269607276
3,130,110,0.01,21.775158471836125
3,130,120,0.01,28.393850524598076
3,140,10,0.01,0.5283107554165466
3,140,20,0.01,0.3979870532113043
3,140,30,0.01,1.9014610416881694
3,140,40,0.01,3.8960565581682736
3,140,50,0.01,8.118329687192192
3,140,60,0.01,7.424564782768644
3,140,70,0.01,3.9040086830029104
3,140,80,0.01,31.448498553318284
3,140,90,0.01,426.3620921761237
3,140,100,0.01,55.5387296708005
3,140,110,0.01,19.52060004049332
3,140,120,0.01,78.04789384116701
3,140,130,0.01,11.918341342306476
3,150,10,0.01,0.3419503585018442
3,150,20,0.01,5.7699484711729925
3,150,30,0.01,21.226515493369657
3,150,40,0.01,9.813169745414555
3,150,50,0.01,5.5960532469381485
3,150,60,0.01,4.172954746388743
3,150,70,0.01,15.535268850997872
3,150,80,0.01,4.444811413732428
3,150,90,0.01,4.233037643278164
3,150,100,0.01,14.190928029694893
3,150,110,0.01,31.27238103259747
3,150,120,0.01,53.770947680554976
3,150,130,0.01,23.151891746383786
3,150,140,0.01,680.6416039644238
3,160,10,0.01,0.5512115852047557
3,160,20,0.01,1.9760289049928328
3,160,30,0.01,25.328907085257327
3,160,40,0.01,2.35182698600295
3,160,50,0.01,7.830576028408387
3,160,60,0.01,6.369917990692827
3,160,70,0.01,8.799537729193304
3,160,80,0.01,10.709919769020305
3,160,90,0.01,14.302569840645523
3,160,100,0.01,738.0957028405318
3,160,110,0.01,29.145552805266792
3,160,120,0.01,50.862971582798025
3,160,130,0.01,13.03976198713981
3,160,140,0.01,5.771376079740333
3,160,150,0.01,9.091363491303422
3,170,10,0.01,0.5193070908911576
3,170,20,0.01,0.07216862102191084
3,170,30,0.01,4.422598371411953
3,170,40,0.01,7.355706350726163
3,170,50,0.01,20.110511954099376
3,170,60,0.01,7.153134464211259
3,170,70,0.01,16.43148881462948
3,170,80,0.01,4.719130846835629
3,170,90,0.01,16.9276155223294
3,170,100,0.01,6.1678251995214675
3,170,110,0.01,46.85152240070227
3,170,120,0.01,139.7850001497766
3,170,130,0.01,103.78726536154751
3,170,140,0.01,35.96155089683415
3,170,150,0.01,74.41657326141377
3,170,160,0.01,16.38793461925791
3,180,10,0.01,0.5980836435857358
3,180,20,0.01,0.564038154344723
3,180,30,0.01,0.6178244449103146
3,180,40,0.01,202.56459287236842
3,180,50,0.01,2.467414225572131
3,180,60,0.01,7.7423560151331925
3,180,70,0.01,285.35276916907804
3,180,80,0.01,7.136726874740877
3,180,90,0.01,19.271265338892224
3,180,100,0.01,204.3987602142321
3,180,110,0.01,77.04996654916086
3,180,120,0.01,29.32199350584767
3,180,130,0.01,59.37823606391981
3,180,140,0.01,103.64643423909162
3,180,150,0.01,520.0588927328394
3,180,160,0.01,28.765613331500617
3,180,170,0.01,78.70612291990822
3,190,10,0.01,0.27248942702020135
3,190,20,0.01,2.5352341007615724
3,190,30,0.01,9.616395593941917
3,190,40,0.01,9.947029303241415
3,190,50,0.01,19.391544148176457
3,190,60,0.01,6.176573403295393
3,190,70,0.01,12.140660998161124
3,190,80,0.01,7.313510621073998
3,190,90,0.01,24.46828759942059
3,190,100,0.01,51.19012468889045
3,190,110,0.01,124.79731530798885
3,190,120,0.01,327.74652938655726
3,190,130,0.01,8.969317748525672
3,190,140,0.01,27.788959209497673
3,190,150,0.01,52.5631402841673
3,190,160,0.01,89.74331816513946
3,190,170,0.01,19.52650401364087
3,190,180,0.01,16.373346043369754
3,200,10,0.01,0.17774412580820528
3,200,20,0.01,0.09576598200835135
3,200,30,0.01,10.542379975124751
3,200,40,0.01,3.452290310191927
3,200,50,0.01,37.582585243610936
3,200,60,0.01,15.014437191399898
3,200,70,0.01,17.421838301179218
3,200,80,0.01,3.0451519384031247
3,200,90,0.01,42.61664514764201
3,200,100,0.01,50.703942451669775
3,200,110,0.01,159.0507349566055
3,200,120,0.01,9.929075575187714
3,200,130,0.01,33.50618327684743
3,200,140,0.01,87.3739969971718
3,200,150,0.01,73.26566139735341
3,200,160,0.01,73.58709622064066
3,200,170,0.01,36.739510149549325
3,200,180,0.01,94.92751928534669
3,200,190,0.01,150.06694301354997
3,210,10,0.01,0.1574556245439549
3,210,20,0.01,2.57668098527964
3,210,30,0.01,15.249832846009056
3,210,40,0.01,3.930745159123836
3,210,50,0.01,9.034704335564935
3,210,60,0.01,17.309130628234275
3,210,70,0.01,7.637030715894787
3,210,80,0.01,18.596291027229842
3,210,90,0.01,75.69994653918984
3,210,100,0.01,10.649661740406312
3,210,110,0.01,20.893301028511292
3,210,120,0.01,30.537771346445236
3,210,130,0.01,64.57865083341625
3,210,140,0.01,27.603312152999322
3,210,150,0.01,85.64860038158206
3,210,160,0.01,48.27684196392153
3,210,170,0.01,16.783389912137267
3,210,180,0.01,245.69616278939102
3,210,190,0.01,131.6831791279374
3,210,200,0.01,99.25676320064203
3,220,10,0.01,0.36396365344730025
3,220,20,0.01,6.398400987586144
3,220,30,0.01,4.928306120629242
3,220,40,0.01,2.7630146644528906
3,220,50,0.01,23.020580915402434
3,220,60,0.01,14.019515616657742
3,220,70,0.01,9.89364301570909
3,220,80,0.01,203.34726548929623
3,220,90,0.01,5.4273132458461975
3,220,100,0.01,21.200183278083646
3,220,110,0.01,151.38651099302837
3,220,120,0.01,251.55700056158318
3,220,130,0.01,20.83276378818696
3,220,140,0.01,23.757175200284934
3,220,150,0.01,227.93597107619846
3,220,160,0.01,14.181476337689688
3,220,170,0.01,143.21562272730537
3,220,180,0.01,33.016536293608006
3,220,190,0.01,107.51629539207785
3,220,200,0.01,63.891807817813735
3,220,210,0.01,51.24640614816777
3,230,10,0.01,4.777102772708128
3,230,20,0.01,2.1393167739968035
3,230,30,0.01,2.0232613359743676
3,230,40,0.01,178.82622834155055
3,230,50,0.01,4.436457036369221
3,230,60,0.01,41.12940372291562
3,230,70,0.01,16.443350317298385
3,230,80,0.01,32.82029898411394
3,230,90,0.01,30.70722808924495
3,230,100,0.01,16.65899334445557
3,230,110,0.01,35.85767575005891
3,230,120,0.01,19.87147860067427
3,230,130,0.01,19.23662585869091
3,230,140,0.01,79.35767502671574
3,230,150,0.01,40.20162866431764
3,230,160,0.01,10.09854703060809
3,230,170,0.01,145.2498802056471
3,230,180,0.01,49.2260317127301
3,230,190,0.01,109.94953665723607
3,230,200,0.01,167.2543080452023
3,230,210,0.01,88.09656017420627
3,230,220,0.01,244.1480065259739
3,240,10,0.01,0.16283502332839206
3,240,20,0.01,1.8987537395289493
3,240,30,0.01,5.11415218849262
3,240,40,0.01,11.764235924944536
3,240,50,0.01,2.7157750869767416
3,240,60,0.01,10.755477980168713
3,240,70,0.01,40.67224151218766
3,240,80,0.01,3.1053792063764347
3,240,90,0.01,33.61081737919701
3,240,100,0.01,5.730346401229728
3,240,110,0.01,11.670612360633642
3,240,120,0.01,44.241099099433
3,240,130,0.01,15.923741764148602
3,240,140,0.01,12.68731309696422
3,240,150,0.01,81.53593363521645
3,240,160,0.01,43.63511174749636
3,240,170,0.01,32.74406384381604
3,240,180,0.01,90.890917843173
3,240,190,0.01,29.86710351917578
3,240,200,0.01,29.598164409994478
3,240,210,0.01,100.50837297329053
3,240,220,0.01,59.01146379729675
3,240,230,0.01,123.79292226822838
3,250,10,0.01,0.6467999496988955
3,250,20,0.01,2.3209707873856584
3,250,30,0.01,5.727204938787832
3,250,40,0.01,6.278091348400039
3,250,50,0.01,9.669062734096858
3,250,60,0.01,23.167088147040747
3,250,70,0.01,8.350044787561625
3,250,80,0.01,7.620754253038599
3,250,90,0.01,21.810793197349437
3,250,100,0.01,50.06710988230366
3,250,110,0.01,37.20704034838219
3,250,120,0.01,30.52822325718746
3,250,130,0.01,86.77903183045373
3,250,140,0.01,120.56468012525663
3,250,150,0.01,66.56285214091962
3,250,160,0.01,88.75869083722387
3,250,170,0.01,45.72219782318454
3,250,180,0.01,138.46865448696764
3,250,190,0.01,111.35247038212236
3,250,200,0.01,211.33727090252728
3,250,210,0.01,95.79363529123407
3,250,220,0.01,137.70896874884303
3,250,230,0.01,87.60929926117025
3,250,240,0.01,43.127791964284654
3,260,10,0.01,0.18297056870248637
3,260,20,0.01,1.9707314292624964
3,260,30,0.01,4.6056422938300186
3,260,40,0.01,8.803907877609904
3,260,50,0.01,8.215139731820175
3,260,60,0.01,20.1594703635604
3,260,70,0.01,11.447821150072015
3,260,80,0.01,12.790368018330478
3,260,90,0.01,73.05054705505087
3,260,100,0.01,113.88590067049323
3,260,110,0.01,90.87499879072696
3,260,120,0.01,18.31409601188719
3,260,130,0.01,37.5524912356463
3,260,140,0.01,38.39809075641528
3,260,150,0.01,467.25380680328027
3,260,160,0.01,38.326780395230436
3,260,170,0.01,92.27590313515742
3,260,180,0.01,70.69206465424679
3,260,190,0.01,18.163123019904383
3,260,200,0.01,64.85054619949308
3,260,210,0.01,1783.7101002986053
3,260,220,0.01,43.22982281957962
3,260,230,0.01,66.19355353629115
3,260,240,0.01,27.90711630908356
3,260,250,0.01,75.49281871466685
3,270,10,0.01,0.5879273624310993
3,270,20,0.01,1.6154344809633345
3,270,30,0.01,1.65164703217894
3,270,40,0.01,0.8543901266385726
3,270,50,0.01,9.922154697399243
3,270,60,0.01,44.46959747585185
3,270,70,0.01,12.002772605954064
3,270,80,0.01,6.618168686016479
3,270,90,0.01,9.224659710146346
3,270,100,0.01,30.932672044384855
3,270,110,0.01,15.357639996914351
3,270,120,0.01,501.6764858610682
3,270,130,0.01,25.039848721119995
3,270,140,0.01,57.5128709069105
3,270,150,0.01,40.25671674139067
3,270,160,0.01,26.108949270320423
3,270,170,0.01,58.96718046247371
3,270,180,0.01,38.3855434721074
3,270,190,0.01,50.8137785269001
3,270,200,0.01,41.426634174891994
3,270,210,0.01,90.20748296644786
3,270,220,0.01,28.506974743511666
3,270,230,0.01,101.19375754133547
3,270,240,0.01,39.28746791990664
3,270,250,0.01,85.22402230001538
3,270,260,0.01,6888.036790570851
3,280,10,0.01,0.2624045784152829
3,280,20,0.01,1.3180320536547867
3,280,30,0.01,2.388218483276243
3,280,40,0.01,3.3633490068367906
3,280,50,0.01,15.845999657495895
3,280,60,0.01,12.241176547206983
3,280,70,0.01,9.874423623811182
3,280,80,0.01,13.949559478789965
3,280,90,0.01,55.205006682702106
3,280,100,0.01,84.56237800973943
3,280,110,0.01,21.668806406465247
3,280,120,0.01,21.01785023347517
3,280,130,0.01,17.759397483373643
3,280,140,0.01,70.21932360321077
3,280,150,0.01,31.32163687859294
3,280,160,0.01,24.199789205957103
3,280,170,0.01,49.58128405953746
3,280,180,0.01,12.07046503758563
3,280,190,0.01,182.58001734404834
3,280,200,0.01,433.30037452523135
3,280,210,0.01,18.737476823642254
3,280,220,0.01,23.821346068493284
3,280,230,0.01,22.310057628997516
3,280,240,0.01,12.578083664677507
3,280,250,0.01,66.38166231828966
3,280,260,0.01,187.70760301179595
3,280,270,0.01,28.790698780051986
3,290,10,0.01,0.5102186215616634
3,290,20,0.01,2.665097867478835
3,290,30,0.01,2.478498264740024
3,290,40,0.01,19.627102913579424
3,290,50,0.01,287.3035604153655
3,290,60,0.01,22.14986204442047
3,290,70,0.01,16.41123313302923
3,290,80,0.01,10.732919915472733
3,290,90,0.01,17.218916334182904
3,290,100,0.01,6.691169316848281
3,290,110,0.01,51.05991712868488
3,290,120,0.01,31.901821273889713
3,290,130,0.01,113.32119339183264
3,290,140,0.01,25.663576194324282
3,290,150,0.01,76.46646640792348
3,290,160,0.01,23.58198733178189
3,290,170,0.01,612.7707623391005
3,290,180,0.01,149.3762358961532
3,290,190,0.01,117.06805090546793
3,290,200,0.01,50.539057440820585
3,290,210,0.01,110.50782907080561
3,290,220,0.01,70.46719627376204
3,290,230,0.01,349.36804321864764
3,290,240,0.01,40.635195565471754
3,290,250,0.01,88.13600657910617
3,290,260,0.01,57.40495752343554
3,290,270,0.01,41.03731278822733
3,290,280,0.01,569.7535435385856
3,300,10,0.01,0.3122743945320043
3,300,20,0.01,1.0836972575505375
3,300,30,0.01,2.4145998040128043
3,300,40,0.01,1.1583059831704878
3,300,50,0.01,9.461958988165874
3,300,60,0.01,6.188584141412085
3,300,70,0.01,13.037393410662984
3,300,80,0.01,18.82303335410342
3,300,90,0.01,14.357979798769955
3,300,100,0.01,20.356288590200162
3,300,110,0.01,82.10575990637547
3,300,120,0.01,32.035807592973356
3,300,130,0.01,25.283989541025502
3,300,140,0.01,41.92564913033821
3,300,150,0.01,30.576512221558733
3,300,160,0.01,227.99474602202847
3,300,170,0.01,143.70775338100967
3,300,180,0.01,16.29702953848268
3,300,190,0.01,149.54108642198358
3,300,200,0.01,60.1325487375584
3,300,210,0.01,254.8628373026535
3,300,220,0.01,66.27021944511677
3,300,230,0.01,334.5000067463102
3,300,240,0.01,690.7453841875175
3,300,250,0.01,177.04654525593142
3,300,260,0.01,50.389020185975795
3,300,270,0.01,58.48142779591063
3,300,280,0.01,331.2085121504944
3,300,290,0.01,71.89286853954067
3,310,10,0.01,0.15071589975230804
3,310,20,0.01,0.9263598380969921
3,310,30,0.01,30.841925812130285
3,310,40,0.01,3.6045910513771453
3,310,50,0.01,3.1685735773805668
3,310,60,0.01,56.90220487927969
3,310,70,0.01,12.772469602149462
3,310,80,0.01,6.647897643828743
3,310,90,0.01,139.4919147785564
3,310,100,0.01,43.945635041787625
3,310,110,0.01,86.25232073088422
3,310,120,0.01,80.0495695167149
3,310,130,0.01,18.635718814848477
3,310,140,0.01,34.58468940067414
3,310,150,0.01,24.899125886035822
3,310,160,0.01,1.446318576685895
3,310,170,0.01,180.00692905175808
3,310,180,0.01,6.424149124416187
3,310,190,0.01,12.039591726972143
3,310,200,0.01,27.360210652061188
3,310,210,0.01,33.58085095674365
3,310,220,0.01,116.61580174735066
3,310,230,0.01,25.6349962147092
3,310,240,0.01,27.151718428696597
3,310,250,0.01,122.24713980330965
3,310,260,0.01,114.36048418926333
3,310,270,0.01,65.47232442722064
3,310,280,0.01,11.43649959208927
3,310,290,0.01,106.29236379356712
3,310,300,0.01,47.26472048150049
3,320,10,0.01,0.2971013378688177
3,320,20,0.01,0.5206677934032287
3,320,30,0.01,2.5646482214837394
3,320,40,0.01,9.725831830533027
3,320,50,0.01,11.521045239717813
3,320,60,0.01,10.613329361490319
3,320,70,0.01,27.249090940258977
3,320,80,0.01,19.13490579806512
3,320,90,0.01,20.142106971788195
3,320,100,0.01,14.617138601783005
3,320,110,0.01,3866.6449698813335
3,320,120,0.01,14.933032802821318
3,320,130,0.01,14.171067306809704
3,320,140,0.01,10.145263881577904
3,320,150,0.01,27.706237390215307
3,320,160,0.01,6.082001678346747
3,320,170,0.01,49.68301585079984
3,320,180,0.01,7.661289383714876
3,320,190,0.01,25.24340197420247
3,320,200,0.01,8.713528120155571
3,320,210,0.01,22.17028628119412
3,320,220,0.01,277.2009810582061
3,320,230,0.01,22.82537830339844
3,320,240,0.01,37.279567474462674
3,320,250,0.01,61.81918544749923
3,320,260,0.01,18.219517380239576
3,320,270,0.01,62.1114470423922
3,320,280,0.01,61.29495020846284
3,320,290,0.01,33.555397309259526
3,320,300,0.01,39.02835212930397
3,320,310,0.01,821.1265229962456
3,330,10,0.01,0.11827312055722196
3,330,20,0.01,0.8961859572717638
3,330,30,0.01,12.281703357608157
3,330,40,0.01,4.858086104451186
3,330,50,0.01,16.635980443579108
3,330,60,0.01,9.71208609940912
3,330,70,0.01,22.53209137926336
3,330,80,0.01,317.0512999728442
3,330,90,0.01,55.08601366237419
3,330,100,0.01,5.333658273737419
3,330,110,0.01,430.6495295953038
3,330,120,0.01,334.05344084031594
3,330,130,0.01,27.949585538458564
3,330,140,0.01,20.599530412401155
3,330,150,0.01,69.99863073997484
3,330,160,0.01,129.60197495995752
3,330,170,0.01,24.410158587560048
3,330,180,0.01,39.1743028657284
3,330,190,0.01,40.627864495932336
3,330,200,0.01,53.55330574908481
3,330,210,0.01,26.057299431933803
3,330,220,0.01,36.382718630785355
3,330,230,0.01,69.82292113197212
3,330,240,0.01,221.31754274971442
3,330,250,0.01,114.57213380840808
3,330,260,0.01,68.928952356778
3,330,270,0.01,16.26319941893428
3,330,280,0.01,107.86119891600593
3,330,290,0.01,114.94359100607535
3,330,300,0.01,7.066687123290758
3,330,310,0.01,407.14671019945223
3,330,320,0.01,19.551182360097265
3,340,10,0.01,0.615890438062524
3,340,20,0.01,1.5527100453006917
3,340,30,0.01,2.0879010725296965
3,340,40,0.01,8.744662282819329
3,340,50,0.01,37.781965536030306
3,340,60,0.01,15.297522232706358
3,340,70,0.01,22.29366096036773
3,340,80,0.01,9.58276664299993
3,340,90,0.01,69.0787830723133
3,340,100,0.01,613.6006396308588
3,340,110,0.01,106.230216320718
3,340,120,0.01,29.153571750126186
3,340,130,0.01,30.771972235652857
3,340,140,0.01,18.815526445713534
3,340,150,0.01,22.10169832908373
3,340,160,0.01,69.70864015634312
3,340,170,0.01,33.58858320587212
3,340,180,0.01,193.44346716646984
3,340,190,0.01,32.99132373167405
3,340,200,0.01,25.655232419134055
3,340,210,0.01,28.675618721343255
