filterFactor,frame_size,scale_factor,noise_coefficient,avg_relative_abs_err
1,20,10,0.01,1.9526141026988828
1,30,10,0.01,1.0237908863464964
1,30,20,0.01,1.8688861700573163
1,40,10,0.01,1.0535900020353404
1,40,20,0.01,1.4867218958882953
1,40,30,0.01,1.172728304556469
1,50,10,0.01,0.77512704114123
1,50,20,0.01,2.293246845418914
1,50,30,0.01,6.074367201203671
1,50,40,0.01,1.7438881186912536
1,60,10,0.01,1.5874844717124612
1,60,20,0.01,2.556219709744442
1,60,30,0.01,6.287499418417788
1,60,40,0.01,3.1871450595547106
1,60,50,0.01,5.483897394538347
1,70,10,0.01,0.45395289298148206
1,70,20,0.01,2.972177888954279
1,70,30,0.01,11.76903489294937
1,70,40,0.01,4.514675525671767
1,70,50,0.01,2.7804278134497022
1,70,60,0.01,2.8286626080672472
1,80,10,0.01,0.6801580922338424
1,80,20,0.01,8.825724355343569
1,80,30,0.01,8.385752518588186
1,80,40,0.01,50.420692884182934
1,80,50,0.01,5.2655810789822075
1,80,60,0.01,3.1771175522629798
1,80,70,0.01,72.49785831766211
1,90,10,0.01,3.423898352352541
1,90,20,0.01,8.708442509465943
1,90,30,0.01,1.1414488630413058
1,90,40,0.01,4.682363107280161
1,90,50,0.01,41.48680549400333
1,90,60,0.01,7.497129065249429
1,90,70,0.01,18.55607053531104
1,90,80,0.01,3.9515085244761203
1,100,10,0.01,1.3856532832178237
1,100,20,0.01,0.8691998056456932
1,100,30,0.01,1.1141220759097894
1,100,40,0.01,3.1363543020141265
1,100,50,0.01,8.8202887134227
1,100,60,0.01,2.904530397486042
1,100,70,0.01,24.6292126557391
1,100,80,0.01,19.331917036543725
1,100,90,0.01,4.429586896735763
1,110,10,0.01,0.5385506952740865
1,110,20,0.01,0.8801239487676943
1,110,30,0.01,1.7658810998839847
1,110,40,0.01,1.009059405382573
1,110,50,0.01,5.2081857627417625
1,110,60,0.01,35.10525279033803
1,110,70,0.01,2.8390234230123297
1,110,80,0.01,7.9280786722846655
1,110,90,0.01,8.909886682861613
1,110,100,0.01,5.8854865430338705
1,120,10,0.01,0.8584473932392953
1,120,20,0.01,3.086501952927937
1,120,30,0.01,2.3526560111737016
1,120,40,0.01,5.780394911622591
1,120,50,0.01,4.937472562099715
1,120,60,0.01,7.254690550472897
1,120,70,0.01,1.965115610399363
1,120,80,0.01,3.2071028658161604
1,120,90,0.01,28.37629796173729
1,120,100,0.01,17.99071115787241
1,120,110,0.01,87.27468268823118
1,130,10,0.01,0.3961090907636929
