frame_size,scale_factor,noise_coefficient,avg_relative_abs_err
20,4,0.0,0.7999900699066721
20,4,0.01,1.0296081238608528
20,4,0.02,0.5768541449729779
20,4,0.03,0.9771106424701617
20,4,0.04,0.6539662923577075
20,4,0.05,0.9559182335342404
20,4,0.060000000000000005,0.6408518247409771
20,4,0.07,0.9664241302404938
20,4,0.08,1.0454468546774611
20,4,0.09,0.7727242879175288
20,4,0.09999999999999999,0.9200174484556385
20,4,0.10999999999999999,1.9592264401126063
20,4,0.11999999999999998,1.0138324433180428
20,4,0.12999999999999998,0.5999718973470224
20,4,0.13999999999999999,1.2236144559965165
20,4,0.15,1.3371852053391076
20,4,0.16,0.8223565596924192
20,4,0.17,1.0664890540139444
20,4,0.18000000000000002,0.7250481605086724
20,4,0.19000000000000003,1.0
20,4,0.20000000000000004,1.3744811097357121
20,4,0.21000000000000005,1.0441825346862992
20,4,0.22000000000000006,0.9929267922567169
20,4,0.23000000000000007,2.754869789595699
20,4,0.24000000000000007,0.9650884019647447
20,4,0.25000000000000006,0.9261687140155578
20,4,0.26000000000000006,1.1782404029379905
20,4,0.2700000000000001,3.4635866622915135
20,4,0.2800000000000001,1.0567634391854757
20,4,0.2900000000000001,0.9659849117548082
20,4,0.3000000000000001,1.0399606958323206
20,4,0.3100000000000001,0.9431929229226608
20,4,0.3200000000000001,1.0800260523410812
20,4,0.3300000000000001,1.0267302437108319
20,4,0.34000000000000014,1.0704304149715889
20,4,0.35000000000000014,2.2612523381190046
20,4,0.36000000000000015,1.1236081609196404
20,4,0.37000000000000016,0.9164178590314385
20,4,0.38000000000000017,1.0341067740113299
20,4,0.3900000000000002,1.0552541547503658
20,4,0.4000000000000002,1.0662419024014904
20,4,0.4100000000000002,0.9699215415895517
20,4,0.4200000000000002,1.012237878174976
20,4,0.4300000000000002,0.521953222750731
20,4,0.4400000000000002,0.849079516909053
20,4,0.45000000000000023,0.9997679136450629
20,4,0.46000000000000024,1.0127261395204068
20,4,0.47000000000000025,0.9483670842251753
20,4,0.48000000000000026,1.0964457292738514
20,4,0.49000000000000027,0.9608695779258678
20,4,0.5000000000000002,0.9049040272632167
20,4,0.5100000000000002,0.9701270152550308
20,4,0.5200000000000002,0.9584143411286222
20,4,0.5300000000000002,1.059395696279724
20,4,0.5400000000000003,0.9722471786507096
20,4,0.5500000000000003,0.8181488702432272
20,4,0.5600000000000003,0.9337349012752695
20,4,0.5700000000000003,1.215597672747742
20,4,0.5800000000000003,1.068023910404694
20,4,0.5900000000000003,1.0787704402102631
20,4,0.6000000000000003,1.215242130189395
20,4,0.6100000000000003,1.0371710329496204
20,4,0.6200000000000003,0.9265284424015693
20,4,0.6300000000000003,1.0608465874755668
20,4,0.6400000000000003,0.955773088809999
20,4,0.6500000000000004,0.9164996459368732
20,4,0.6600000000000004,1.1022491858712176
20,4,0.6700000000000004,1.0979508692144064
20,4,0.6800000000000004,1.2065307372597331
20,4,0.6900000000000004,1.0959509822040083
20,4,0.7000000000000004,1.0022216598243447
20,4,0.7100000000000004,1.0212456088746587
20,4,0.7200000000000004,0.956162532397895
20,4,0.7300000000000004,0.8250489439470367
20,4,0.7400000000000004,0.9653540763447044
20,4,0.7500000000000004,1.0512028808888534
20,4,0.7600000000000005,1.0273874776123315
20,4,0.7700000000000005,1.0815314903508015
20,4,0.7800000000000005,1.0361501231347736
20,4,0.7900000000000005,1.0873968739911863
20,4,0.8000000000000005,1.1158303484765013
20,4,0.8100000000000005,0.97910665993882
20,4,0.8200000000000005,0.9940842705225122
20,4,0.8300000000000005,1.4595219692799548
20,4,0.8400000000000005,1.9743275909927902
